Date,Snow_Depth_cm
2014-03-30,5.8
2014-03-31,2.9
2014-04-01,0.5
2014-04-02,0.5
2014-04-03,0.2
2014-04-04,0.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,0.0
2014-04-08,0.0
2014-04-09,0.0
2014-04-10,0.0
2014-04-11,2.1
2014-04-12,0.4
2014-04-13,0.0
2014-04-14,0.2
2014-04-15,1.0
2014-04-16,3.1
2014-04-17,4.4
2014-04-18,39.7
2014-04-19,34.2
2014-04-20,29.0
2014-04-21,24.0
2014-04-22,17.4
2014-04-23,16.1
2014-04-24,14.7
2014-04-25,7.9
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,0.3
2014-04-30,0.1
2014-05-01,1.5
2014-05-02,0.1
2014-05-03,4.6
2014-05-04,29.1
2014-05-05,14.4
2014-05-06,0.0
2014-05-07,0.0
2014-05-08,0.1
2014-05-09,0.5
2014-05-10,0.2
2014-05-11,0.0
2014-05-12,2.0
2014-05-13,7.6
2014-05-14,0.0
2014-05-15,0.0
2014-05-16,0.0
2014-05-17,0.1
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,0.1
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,13.1
2014-05-26,8.6
2014-05-27,9.3
2014-05-28,4.4
2014-05-29,3.4
2014-05-30,8.0
2014-05-31,35.2
2014-06-01,43.1
2014-06-02,38.7
2014-06-03,45.9
2014-06-04,49.6
2014-06-05,47.2
2014-06-06,44.8
2014-06-07,41.8
2014-06-09,44.6
2014-06-11,61.0
2014-06-12,60.0
2014-06-13,60.0
2014-06-14,62.3
2014-06-15,66.8
2014-06-16,67.8
2014-06-17,65.8
2014-06-18,64.5
2014-06-19,53.8
2014-06-20,48.5
2014-06-21,48.0
2014-06-22,47.3
2014-06-23,47.9
2014-06-24,49.9
2014-06-25,55.4
2014-06-26,57.0
2014-06-27,45.1
2014-06-28,34.1
2014-06-29,30.7
2014-06-30,30.9
2014-07-01,54.0
2014-07-02,49.4
2014-07-03,40.3
2014-07-04,40.2
2014-07-05,39.7
2014-07-07,58.7
2014-07-08,47.6
2014-07-09,47.2
2014-07-10,46.6
2014-07-11,46.1
2014-07-12,44.3
2014-07-13,41.4
2014-07-14,36.8
2014-07-15,36.5
2014-07-16,36.6
2014-07-17,37.8
2014-07-18,44.6
2014-07-19,60.5
2014-07-20,84.0
2014-07-21,79.9
2014-07-22,91.8
2014-07-23,114.0
2014-07-24,97.2
2014-07-25,82.1
2014-07-26,81.3
2014-07-27,82.2
2014-07-28,88.6
2014-07-29,86.9
2014-07-30,88.1
2014-07-31,84.0
2014-08-01,85.5
2014-08-02,101.2
2014-08-03,97.9
2014-08-04,98.9
2014-08-05,107.9
2014-08-06,106.1
2014-08-07,114.1
2014-08-08,111.5
2014-08-09,109.3
2014-08-10,124.9
2014-08-11,124.9
2014-08-12,116.1
2014-08-13,100.0
2014-08-14,98.9
2014-08-15,102.6
2014-08-16,103.3
2014-08-17,99.5
2014-08-18,100.9
2014-08-19,101.3
2014-08-20,103.6
2014-08-21,106.6
2014-08-22,105.7
2014-08-23,106.7
2014-08-24,109.2
2014-08-25,109.2
2014-08-26,107.6
2014-08-27,106.6
2014-08-28,105.7
2014-08-29,104.4
2014-08-30,103.9
2014-09-01,104.7
2014-09-02,103.3
2014-09-03,101.1
2014-09-04,99.0
2014-09-05,98.4
2014-09-06,97.7
2014-09-07,96.8
2014-09-08,96.3
2014-09-09,98.7
2014-09-10,97.3
2014-09-11,96.5
2014-09-12,96.8
2014-09-13,96.4
2014-09-14,99.9
2014-09-15,97.5
2014-09-16,101.8
2014-09-17,95.8
2014-09-18,97.6
2014-09-19,97.4
2014-09-20,98.5
2014-09-21,99.7
2014-09-22,101.3
2014-09-23,99.3
2014-09-24,103.9
2014-09-25,103.0
2014-09-26,101.7
2014-09-27,100.0
2014-09-28,99.6
2014-09-29,99.0
2014-09-30,98.1
2014-10-01,97.1
2014-10-02,96.2
2014-10-03,93.6
2014-10-04,89.9
2014-10-05,84.8
2014-10-06,80.7
2014-10-07,81.5
2014-10-08,77.9
2014-10-09,77.0
2014-10-10,75.0
2014-10-11,78.1
2014-10-12,78.7
2014-10-13,79.6
2014-10-14,79.2
2014-10-15,75.8
2014-10-16,75.1
2014-10-17,73.4
2014-10-18,71.6
2014-10-19,69.5
2014-10-20,69.0
2014-10-21,68.3
2014-10-22,67.3
2014-10-23,62.9
2014-10-24,59.7
2014-10-25,56.3
2014-10-26,54.4
2014-10-27,53.5
2014-10-29,54.1
2014-10-30,53.8
2014-10-31,52.2
2014-11-01,49.8
2014-11-02,44.0
2014-11-03,40.6
2014-11-04,34.7
2014-11-05,32.9
2014-11-06,52.8
2014-11-07,62.4
2014-11-08,57.9
2014-11-09,47.5
2014-11-10,41.8
2014-11-11,49.9
2014-11-12,45.7
2014-11-19,0.1
2014-11-20,0.3
2014-11-21,0.2
2014-11-22,0.4
2014-11-23,0.2
2014-11-24,0.0
2014-11-26,0.0
2014-11-27,0.0
2014-11-28,0.0
2014-11-29,0.0
2014-11-30,0.0
2014-12-04,0.0
2014-12-05,0.0
2014-12-11,0.0
2014-12-17,0.0
2014-12-18,0.0
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,0.0
2014-12-23,0.0
2014-12-24,0.05
2014-12-25,0.05
2014-12-26,0.15
2014-12-27,0.25
2014-12-28,0.05
2014-12-29,0.0
2014-12-30,0.0
2014-12-31,0.0
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,0.05
2015-01-04,0.0
2015-01-05,0.15
2015-01-06,0.0
2015-01-07,0.75
2015-01-08,0.55
2015-01-09,0.85
2015-01-10,2.15
2015-01-11,15.35
2015-01-12,8.45
2015-01-13,2.65
2015-01-14,0.45
2015-01-15,0.0
2015-01-16,0.0
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.25
2015-01-20,0.35
2015-01-21,0.45
2015-01-22,0.45
2015-01-23,0.75
2015-01-24,0.85
2015-01-25,1.15
2015-01-26,1.05
2015-01-27,0.5
2015-01-28,0.3
2015-01-29,0.4
2015-01-30,0.0
2015-01-31,0.1
2015-02-01,0.2
2015-02-02,0.0
2015-02-03,0.2
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.4
2015-02-07,0.1
2015-02-08,0.1
2015-02-09,0.2
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.1
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-24,0.1
2015-02-25,0.0
2015-02-26,0.2
2015-02-27,0.1
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,0.8
2015-03-08,7.1
2015-03-09,3.7
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,0.0
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,7.5
2015-03-20,16.4
2015-03-21,8.5
2015-03-22,0.7
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,1.4
2015-04-01,7.2
2015-04-02,11.9
2015-04-03,22.2
2015-04-04,18.8
2015-04-05,15.2
2015-04-06,12.1
2015-04-07,9.9
2015-04-08,6.0
2015-04-09,0.8
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.5
2015-04-16,0.4
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.0
2015-04-25,0.1
2015-04-26,0.1
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,1.2
2015-05-02,0.9
2015-05-03,0.4
2015-05-04,0.6
2015-05-05,0.7
2015-05-06,0.2
2015-05-07,0.0
2015-05-08,2.8
2015-05-09,5.8
2015-05-10,4.4
2015-05-11,0.2
2015-05-12,0.0
2015-05-13,12.1
2015-05-14,4.6
2015-05-15,0.0
2015-05-16,12.5
2015-05-17,23.5
2015-05-18,8.2
2015-05-19,1.9
2015-05-20,2.8
2015-05-21,14.9
2015-05-22,23.4
2015-05-23,23.0
2015-05-24,5.9
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,25.9
2015-05-30,58.5
2015-05-31,51.7
2015-06-01,45.4
2015-06-02,52.1
2015-06-03,67.4
2015-06-04,74.6
2015-06-05,76.3
2015-06-06,71.0
2015-06-07,67.0
2015-06-08,64.0
2015-06-09,61.4
2015-06-10,56.0
2015-06-11,37.2
2015-06-12,27.9
2015-06-13,36.0
2015-06-14,41.3
2015-06-15,38.4
2015-06-16,39.6
2015-06-17,30.7
2015-06-18,30.4
2015-06-19,34.9
2015-06-20,41.0
2015-06-22,38.4
2015-06-23,39.6
2015-06-24,38.8
2015-06-25,38.0
2015-06-26,40.2
2015-06-27,38.2
2015-06-28,51.5
2015-06-29,75.6
2015-06-30,70.5
2015-07-01,66.9
2015-07-02,64.6
2015-07-03,64.0
2015-07-04,63.0
2015-07-05,62.3
2015-07-06,65.7
2015-07-07,67.0
2015-07-08,72.5
2015-07-09,75.7
2015-07-10,78.9
2015-07-11,81.6
2015-07-12,79.8
2015-07-13,83.4
2015-07-14,81.0
2015-07-15,95.6
2015-07-16,93.0
2015-07-17,92.7
2015-07-18,85.5
2015-07-19,89.3
2015-07-20,89.9
2015-07-21,97.5
2015-07-22,96.0
2015-07-23,88.3
2015-07-24,89.6
2015-07-25,85.6
2015-07-26,87.3
2015-07-27,93.5
2015-07-28,96.2
2015-07-29,95.5
2015-07-30,94.0
2015-07-31,93.2
2015-08-01,93.0
2015-08-02,93.2
2015-08-03,93.9
2015-08-04,96.6
2015-08-05,100.6
2015-08-06,99.5
2015-08-07,103.7
2015-08-08,102.5
2015-08-09,100.6
2015-08-10,100.0
2015-08-11,99.7
2015-08-12,99.1
2015-08-13,97.9
2015-08-14,97.6
2015-08-15,99.9
2015-08-16,83.4
2015-08-17,86.5
2015-08-18,90.8
2015-08-19,92.5
2015-08-20,96.5
2015-08-21,100.3
2015-08-22,108.0
2015-08-23,113.6
2015-08-24,119.5
2015-08-25,119.3
2015-08-26,118.6
2015-08-27,119.2
2015-08-28,114.9
2015-08-29,116.6
2015-08-30,113.6
2015-08-31,111.2
2015-09-01,110.6
2015-09-02,110.1
2015-09-03,109.0
2015-09-04,104.3
2015-09-05,98.1
2015-09-06,99.5
2015-09-07,101.7
2015-09-08,104.5
2015-09-09,98.4
2015-09-10,95.2
2015-09-11,95.2
2015-09-12,94.8
2015-09-13,95.2
2015-09-14,108.4
2015-09-15,105.8
2015-09-16,99.6
2015-09-17,96.5
2015-09-18,96.3
2015-09-19,95.2
2015-09-20,93.0
2015-09-21,92.6
2015-09-22,92.1
2015-09-23,90.6
2015-09-24,88.6
2015-09-25,86.4
2015-09-26,85.9
2015-09-27,88.6
2015-09-28,87.0
2015-09-29,85.5
2015-09-30,84.5
2015-10-01,83.8
2015-10-02,83.7
2015-10-03,82.2
2015-10-04,79.6
2015-10-05,77.5
2015-10-06,77.1
2015-10-07,76.2
2015-10-08,75.4
2015-10-09,73.2
2015-10-10,70.6
2015-10-11,67.7
2015-10-12,64.9
2015-10-13,62.4
2015-10-14,65.3
2015-10-15,71.0
2015-10-16,69.4
2015-10-17,62.2
2015-10-18,58.7
2015-10-19,51.5
2015-10-20,64.4
2015-10-21,73.5
2015-10-22,63.0
2015-10-23,58.5
2015-10-24,52.1
2015-10-25,48.9
2015-10-26,44.9
2015-10-27,42.0
2015-10-28,38.7
2015-10-29,36.6
2015-10-30,36.7
2015-10-31,34.5
2015-11-01,30.2
2015-11-02,24.8
2015-11-03,22.1
2015-11-04,18.4
2015-11-05,13.0
2015-11-06,6.9
2015-11-07,1.6
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,1.5
2015-11-13,15.5
2015-11-14,10.3
2015-11-15,12.6
2015-11-16,13.9
2015-11-17,24.1
2015-11-18,20.5
2015-11-19,15.8
2015-11-20,12.5
2015-11-21,7.7
2015-11-22,1.9
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,0.2
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,0.0
2015-12-04,0.1
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.1
2015-12-10,0.0
2015-12-11,0.1
2015-12-12,0.0
2015-12-13,0.4
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.6
2015-12-17,1.3
2015-12-18,0.0
2015-12-19,1.0
2015-12-20,0.6
2015-12-21,0.2
2015-12-22,0.3
2015-12-23,0.7
2015-12-24,2.8
2015-12-25,6.4
2015-12-26,3.5
2015-12-27,0.9
2015-12-28,0.7
2015-12-29,0.9
2015-12-30,0.8
2015-12-31,0.5
2016-01-01,0.2
2016-01-02,0.2
2016-01-03,0.3
2016-01-04,1.0
2016-01-05,2.0
2016-01-06,1.8
2016-01-07,1.8
2016-01-08,1.7
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.1
2016-01-26,0.1
2016-01-27,0.3
2016-01-28,0.1
2016-01-29,0.0
2016-01-30,0.1
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,0.1
2016-02-03,0.1
2016-02-04,0.2
2016-02-05,0.2
2016-02-06,0.1
2016-02-07,0.1
2016-02-08,0.2
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,0.3
2016-02-12,0.6
2016-02-13,0.3
2016-02-14,0.2
2016-02-15,0.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.8
2016-02-19,0.0
2016-02-20,0.4
2016-02-21,0.3
2016-02-23,0.5
2016-02-24,0.6
2016-02-25,0.6
2016-02-26,0.0
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.0
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,0.0
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-02,0.0
2016-04-03,0.0
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,0.0
2016-04-07,0.0
2016-04-08,0.0
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,0.0
2016-04-14,0.0
2016-04-15,0.0
2016-04-16,4.7
2016-04-17,4.0
2016-04-18,1.1
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,1.3
2016-05-15,2.2
2016-05-16,1.6
2016-05-17,1.3
2016-05-18,1.1
2016-05-19,1.0
2016-05-20,0.7
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.2
2016-05-31,0.2
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.1
2016-06-05,0.0
2016-06-06,0.1
2016-06-07,0.0
2016-06-08,6.2
2016-06-09,6.1
2016-06-10,4.4
2016-06-11,3.8
2016-06-12,3.0
2016-06-13,2.8
2016-06-14,2.7
2016-06-15,2.5
2016-06-16,2.2
2016-06-17,0.6
2016-06-18,0.9
2016-06-19,0.7
2016-06-20,0.3
2016-06-21,0.6
2016-06-22,0.4
2016-06-23,1.6
2016-06-24,2.0
2016-06-25,0.5
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,1.8
2016-06-30,1.5
2016-07-01,3.8
2016-07-02,3.4
2016-07-03,3.2
2016-07-04,2.6
2016-07-05,0.6
2016-07-06,0.3
2016-07-07,0.0
2016-07-08,0.4
2016-07-09,0.4
2016-07-10,0.7
2016-07-11,0.9
2016-07-12,0.1
2016-07-13,6.1
2016-07-14,6.5
2016-07-15,5.5
2016-07-16,5.3
2016-07-17,7.1
2016-07-18,6.6
2016-07-19,5.7
2016-07-20,2.8
2016-07-21,4.3
2016-07-22,4.1
2016-07-23,3.4
2016-07-24,4.0
2016-07-25,3.7
2016-07-26,3.6
2016-07-27,3.3
2016-07-28,4.1
2016-07-29,4.7
2016-07-30,5.1
2016-07-31,6.2
2016-08-01,6.0
2016-08-02,5.3
2016-08-03,5.6
2016-08-04,6.1
2016-08-05,6.8
2016-08-06,5.1
2016-08-07,3.5
2016-08-08,2.7
2016-08-09,2.5
2016-08-10,31.5
2016-08-11,23.0
2016-08-12,17.9
2016-08-13,33.9
2016-08-14,34.2
2016-08-15,31.6
2016-08-16,29.3
2016-08-17,28.1
2016-08-18,29.0
2016-08-19,28.3
2016-08-20,27.9
2016-08-21,42.0
2016-08-22,40.8
2016-08-23,50.9
2016-08-24,57.0
2016-08-25,58.4
2016-08-26,60.3
2016-08-27,58.7
2016-08-28,57.6
2016-08-29,56.1
2016-08-30,66.3
2016-08-31,70.1
2016-09-01,61.5
2016-09-02,59.3
2016-09-03,57.8
2016-09-04,56.5
2016-09-05,54.6
2016-09-06,52.9
2016-09-07,50.6
2016-09-08,60.3
2016-09-09,60.0
2016-09-10,56.5
2016-09-11,54.5
2016-09-12,55.1
2016-09-13,55.0
2016-09-14,54.2
2016-09-15,53.5
2016-09-16,53.2
2016-09-17,52.6
2016-09-18,52.0
2016-09-19,50.8
2016-09-20,48.5
2016-09-21,46.3
2016-09-22,48.9
2016-09-23,46.7
2016-09-24,44.9
2016-09-25,42.8
2016-09-26,39.1
2016-09-27,37.7
2016-09-28,36.2
2016-09-29,33.1
2016-09-30,29.8
2016-10-01,27.5
2016-10-02,24.3
2016-10-03,19.0
2016-10-04,15.6
2016-10-05,13.6
2016-10-06,13.2
2016-10-07,10.0
2016-10-08,8.6
2016-10-09,8.2
2016-10-10,11.3
2016-10-11,12.7
2016-10-12,19.5
2016-10-13,20.1
2016-10-14,20.3
2016-10-15,14.4
2016-10-16,11.4
2016-10-17,8.4
2016-10-18,4.9
2016-10-19,0.7
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.2
2016-10-27,0.0
2016-10-28,0.1
2016-10-29,0.5
2016-10-30,0.4
2016-11-01,0.3
2016-11-02,0.3
2016-11-03,4.7
2016-11-04,2.7
2016-11-05,6.1
2016-11-06,8.2
2016-11-07,0.1
2016-11-08,0.2
2016-11-09,0.7
2016-11-10,0.8
2016-11-11,0.6
2016-11-12,0.3
2016-11-13,2.2
2016-11-14,8.0
2016-11-15,11.8
2016-11-16,6.0
2016-11-17,1.0
2016-11-18,1.3
2016-11-19,2.3
2016-11-20,2.0
2016-11-21,1.2
2016-11-22,1.1
2016-11-23,1.3
2016-11-24,1.1
2016-11-25,1.5
2016-11-26,1.6
2016-11-27,1.6
2016-11-28,1.3
2016-11-29,0.9
2016-11-30,1.0
2016-12-01,1.4
2016-12-02,1.7
